Ind,Acronym,Positive votes,Negative votes,Description
1,AFK,0,0,Away From Keyboard
2,BRB,0,0,Be Right Back
3,BBIAB,0,0,Be Back In A Bit
4,BBL,0,0,Be Back Later
5,TTFN,0,0,Ta Ta For Now
6,BBS,0,0,Be Back Soon
7,BTW,0,0,By The Way
8,HAGN,0,0,Have A Good Night
9,KISS,0,0,Keep It Simple Stupid
10,KIT,0,0,Keep In Touch
11,EG,0,0,Evil Grin
12,BEG,0,0,Big Evil Grin
13,NYOB,0,0,None of Your Business
14,OMG,5,2,Oh My God
15,PM,0,0,Private Message
16,POS,0,0,Parents Over Shoulder
17,TTYL,0,0,Talk To You Later
18,LTNS,0,0,Long Time No See
19,SSDD,0,0,Same Sh$% Different Day
20,IDK,0,0,I don't know
